,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,19428,"Zalatoris, Will",0.85,0.08,0.00,0.95,20.58,0.02,129.00,0.77,0.10,0.00,0.97,27.77,0.09,171.00,0.84,0.06,0.00,0.92,18.33,-0.05,36.00,0.36,0.05,0.00,0.97,60.85,0.01,65.00,0.42,0.08,0.00,0.94,46.86,0.02,87.00,0.66,0.07,0.00,0.94,33.99,0.01,62
,18841,"Hovland, Viktor",0.84,0.10,0.00,0.95,19.10,0.05,233.00,0.73,0.09,0.00,0.97,25.48,0.09,334.00,0.90,0.13,0.00,0.97,15.15,0.07,75.00,0.38,0.06,0.00,0.98,65.26,0.03,118.00,0.53,0.08,0.00,0.96,37.97,0.05,186.00,0.64,0.05,0.00,0.95,35.34,0.03,85
,14796,"Hatton, Tyrrell",0.83,0.07,0.00,0.96,19.35,0.03,55.00,0.75,0.11,0.00,0.98,25.31,0.08,100.00,0.82,0.09,0.00,1.00,11.39,0.04,22.00,,,,,,,,0.49,0.04,0.00,0.95,44.77,0.02,56.00,0.43,0.00,0.00,0.94,38.02,-0.04,17
,22736,"Rosenmueller, Thomas",0.79,0.07,0.00,0.94,22.80,-0.02,186.00,0.73,0.08,0.00,0.98,27.84,0.08,264.00,0.89,0.08,0.00,0.94,18.60,-0.01,85.00,0.34,0.03,0.00,0.96,59.83,0.00,70.00,0.48,0.05,0.00,0.96,44.26,0.02,146.00,0.54,0.03,0.00,0.95,40.15,-0.04,102
,13900,"Lowry, Shane",0.82,0.06,0.00,0.94,19.68,0.03,280.00,0.73,0.08,0.00,0.97,26.90,0.07,376.00,0.85,0.15,0.00,0.96,15.11,0.04,93.00,0.40,0.08,0.00,0.97,54.43,0.05,130.00,0.53,0.07,0.00,0.97,43.61,0.05,205.00,0.61,0.06,0.00,0.97,35.41,0.03,88
,18417,"Scheffler, Scottie",0.87,0.09,0.00,0.97,18.37,0.07,326.00,0.76,0.06,0.00,0.97,26.52,0.07,445.00,0.84,0.12,0.00,0.96,14.35,0.10,101.00,0.40,0.07,0.00,1.00,54.29,0.10,120.00,0.50,0.08,0.00,0.97,39.18,0.07,257.00,0.59,0.06,0.00,0.94,37.41,0.04,135
,23841,"Neergaard-Petersen, Rasmus",,,,,,,,0.75,0.04,0.00,0.99,28.48,0.06,76.00,0.81,0.07,0.00,0.87,18.11,-0.04,15.00,,,,,,,,0.60,0.03,1.00,1.00,39.36,0.06,38.00,0.58,0.11,0.00,0.94,37.84,0.05,18
,32319,"Koivun, Jackson",0.83,0.08,0.00,0.89,21.52,0.00,123.00,0.72,0.07,0.00,0.97,26.88,0.06,121.00,0.70,0.04,0.00,0.88,18.63,-0.14,24.00,0.36,0.00,0.00,0.97,75.92,-0.04,31.00,0.45,0.03,0.00,1.00,44.37,0.00,79.00,0.45,0.10,0.00,0.98,43.74,-0.03,41
,23504,"Hoey, Rico",0.79,0.07,0.00,0.93,23.51,-0.01,292.00,0.71,0.07,0.00,0.97,28.30,0.06,404.00,0.83,0.06,0.00,0.94,18.26,0.00,97.00,0.39,0.08,0.00,0.95,54.03,0.05,101.00,0.50,0.06,0.00,1.00,41.47,0.04,203.00,0.60,0.10,0.00,0.95,37.68,0.03,133
,13562,"Matsuyama, Hideki",0.81,0.08,0.00,0.94,20.22,0.02,320.00,0.73,0.08,0.00,0.97,26.70,0.06,429.00,0.84,0.13,0.00,0.93,15.08,0.05,93.00,0.29,0.04,0.00,0.97,54.97,0.03,158.00,0.49,0.10,0.00,0.97,39.13,0.06,237.00,0.50,0.05,0.00,0.95,39.05,-0.05,134
,15466,"Cantlay, Patrick",0.88,0.06,0.00,0.95,18.61,0.05,265.00,0.76,0.09,0.00,0.98,28.33,0.06,315.00,0.93,0.13,0.00,0.96,15.31,0.05,90.00,0.40,0.05,0.00,0.99,62.48,0.08,123.00,0.40,0.04,0.00,0.94,44.30,-0.02,185.00,0.64,0.05,0.00,0.98,37.31,0.01,130
,17576,"Conners, Corey",0.85,0.07,0.00,0.95,18.76,0.05,349.00,0.76,0.06,0.00,0.98,26.45,0.06,467.00,0.83,0.07,0.00,0.93,17.86,-0.01,97.00,0.32,0.04,0.00,0.98,63.70,0.01,111.00,0.50,0.06,0.00,0.97,45.50,0.03,266.00,0.56,0.04,0.00,0.97,38.63,-0.01,98
,24481,"Redman, Doc",0.84,0.09,1.00,0.94,23.01,0.02,47.00,0.76,0.06,1.00,0.95,30.22,0.06,63.00,0.89,0.23,1.00,1.00,12.46,0.21,13.00,,,,,,,,,,,,,,,0.62,0.05,0.00,0.95,42.34,-0.03,19
,24304,"Vilips, Karl",0.78,0.05,0.00,0.93,23.85,-0.04,186.00,0.72,0.09,0.00,0.95,29.69,0.06,279.00,0.85,0.06,0.00,0.96,15.82,0.04,71.00,0.33,0.04,0.00,0.98,63.12,-0.01,104.00,0.45,0.05,0.00,0.96,47.92,-0.04,133.00,0.52,0.06,0.00,0.93,40.14,-0.02,128
,14609,"Kim, Si Woo",0.79,0.09,0.00,0.94,21.79,0.03,310.00,0.70,0.10,0.00,0.96,27.21,0.06,491.00,0.83,0.05,0.00,0.91,17.09,-0.03,123.00,0.37,0.04,0.00,0.95,65.76,-0.01,130.00,0.48,0.07,0.00,0.97,40.78,0.06,263.00,0.53,0.09,0.00,0.93,38.44,-0.01,118
,14838,"Reed, Patrick",,,,,,,,0.68,0.10,0.00,0.96,22.31,0.06,71.00,0.83,0.19,0.00,0.94,14.70,0.04,16.00,0.26,0.05,1.00,0.96,63.04,-0.01,22.00,0.51,0.02,0.00,0.98,54.31,0.03,43.00,0.53,0.00,0.00,1.00,48.01,-0.09,16
,17511,"Straka, Sepp",0.86,0.08,0.00,0.96,17.62,0.08,266.00,0.73,0.07,0.00,0.96,27.81,0.05,387.00,0.81,0.15,0.00,0.97,17.16,0.03,65.00,0.35,0.07,0.00,0.97,53.03,0.00,121.00,0.57,0.04,0.00,0.97,40.85,0.05,208.00,0.48,0.08,0.00,0.97,42.12,-0.02,73
,22085,"Morikawa, Collin",0.83,0.10,0.00,0.95,18.33,0.06,317.00,0.72,0.07,0.00,0.97,27.92,0.05,370.00,0.89,0.07,0.00,0.95,15.86,0.04,93.00,0.31,0.04,0.00,0.97,59.04,0.01,95.00,0.48,0.06,0.00,0.96,43.42,0.04,231.00,0.63,0.01,0.00,0.96,32.86,0.05,76
,31188,"Valdes, Brendan",0.74,0.06,0.00,0.96,23.89,-0.02,55.00,0.65,0.09,1.00,0.95,30.15,0.05,56.00,0.66,0.00,1.00,0.93,20.84,-0.09,14.00,0.15,0.00,1.00,0.90,77.70,-0.17,19.00,,,,,,,,0.46,0.00,0.00,0.82,43.78,-0.09,17
