,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,dg_id,player_name,tour,season,year,event_id,event_name,event_completed,course_name,course_num,fin_text,course_par,round_num,start_hole,teetime,score,birdies,bogies,pars,eagles_or_better,doubles_or_worse,driving_acc,driving_dist,gir,scrambling,great_shots,poor_shots,prox_fw,prox_rgh,sg_total,sg_t2g,sg_app,sg_arg,sg_ott,sg_putt,sg_categories,traditional_stats
,27774,"Gotterup, Chris",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,1,70,1,10,7:54am,63,8,1,9,0,0,0.643,311.3,0.833,0.857,4,1,18.422,56.771,5.783,4.150,1.933,0.400,1.817,1.633,yes,yes
,27774,"Gotterup, Chris",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,1,70,2,1,12:24pm,69,3,2,13,0,0,0.571,306.2,0.667,0.571,3,3,28.072,60.431,1.034,1.302,-1.535,2.005,0.832,-0.268,yes,yes
,27774,"Gotterup, Chris",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,1,70,3,1,12:45pm,68,4,2,12,0,0,0.429,290.1,0.667,0.714,4,2,29.893,49.139,2.135,1.244,0.641,0.190,0.413,0.892,yes,yes
,27774,"Gotterup, Chris",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,1,70,4,1,12:55pm,64,7,1,10,0,0,0.786,308.6,0.889,1.000,5,1,25.135,48.229,3.919,1.084,-1.195,0.976,1.303,2.834,yes,yes
,29767,"Gerard, Ryan",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,2,70,1,10,12:24pm,69,2,1,15,0,0,0.857,291.0,0.667,0.714,0,3,23.632,52.559,-0.217,2.238,0.662,0.626,0.950,-2.455,yes,yes
,29767,"Gerard, Ryan",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,2,70,2,1,7:54am,64,7,1,10,0,0,0.714,295.9,0.944,0.500,5,2,22.773,40.282,6.034,5.387,3.802,0.519,1.066,0.647,yes,yes
,29767,"Gerard, Ryan",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,2,70,3,1,12:25pm,68,5,3,10,0,0,0.571,277.9,0.667,0.800,5,2,26.510,55.784,2.135,0.737,1.495,0.434,-1.192,1.399,yes,yes
,29767,"Gerard, Ryan",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,2,70,4,1,12:45pm,65,6,1,11,0,0,0.714,295.1,0.833,0.750,2,3,25.323,34.963,2.919,1.277,0.237,0.274,0.766,1.641,yes,yes
,16283,"Rodgers, Patrick",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,3,70,1,1,11:51am,66,5,1,12,0,0,0.571,293.2,0.889,0.667,4,1,21.022,41.663,2.783,1.955,1.873,-0.316,0.398,0.828,yes,yes
,16283,"Rodgers, Patrick",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,3,70,2,10,7:21am,67,3,2,12,1,0,0.643,290.5,0.611,0.714,3,3,29.851,135.798,3.034,-0.328,-0.601,-0.631,0.904,3.362,yes,yes
,16283,"Rodgers, Patrick",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,3,70,3,1,12:25pm,69,4,3,11,0,0,0.571,298.2,0.667,0.714,4,3,35.140,51.893,1.135,1.179,-0.539,1.017,0.701,-0.043,yes,yes
,16283,"Rodgers, Patrick",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,3,70,4,1,12:25pm,65,5,0,13,0,0,0.643,303.2,0.889,0.667,4,0,25.228,53.269,2.919,2.829,1.481,0.156,1.192,0.089,yes,yes
,29433,"Bridgeman, Jacob",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,1,1,7:10am,69,5,4,9,0,0,0.643,287.0,0.667,0.333,5,1,28.385,122.291,-0.217,-1.374,-0.675,-1.438,0.739,1.157,yes,yes
,29433,"Bridgeman, Jacob",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,2,10,11:40am,68,6,4,8,0,0,0.357,290.0,0.611,0.571,6,6,21.785,53.551,2.034,1.941,1.263,1.879,-1.201,0.093,yes,yes
,29433,"Bridgeman, Jacob",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,3,1,9:55am,67,4,1,13,0,0,0.429,299.1,0.833,0.667,4,0,23.723,67.546,3.135,1.252,0.414,0.643,0.195,1.884,yes,yes
,29433,"Bridgeman, Jacob",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,4,1,12:05pm,64,6,0,12,0,0,0.643,293.2,0.889,1.000,2,2,18.918,52.687,3.919,2.578,1.838,0.388,0.352,1.340,yes,yes
,23323,"MacIntyre, Robert",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,1,10,8:05am,67,4,1,13,0,0,0.714,299.5,0.778,0.667,5,5,27.272,83.399,1.783,2.762,0.715,0.990,1.057,-0.979,yes,yes
,23323,"MacIntyre, Robert",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,2,1,12:35pm,71,4,3,10,0,1,0.429,303.8,0.611,0.500,7,7,44.085,24.532,-0.966,0.075,-0.858,0.767,0.166,-1.041,yes,yes
,23323,"MacIntyre, Robert",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,3,1,8:22am,67,5,2,11,0,0,0.500,307.9,0.944,0.667,3,4,27.125,51.109,3.135,2.734,1.887,-0.245,1.092,0.402,yes,yes
,23323,"MacIntyre, Robert",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T4,70,4,1,11:30am,63,7,0,11,0,0,0.571,313.0,0.833,1.000,5,0,25.569,28.085,4.919,2.045,1.694,-0.705,1.056,2.873,yes,yes
,25157,"Hodges, Lee",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T6,70,1,1,11:40am,70,2,2,14,0,0,0.500,283.7,0.667,0.857,2,4,33.192,77.905,-1.217,-1.046,-1.369,0.477,-0.154,-0.171,yes,yes
,25157,"Hodges, Lee",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T6,70,2,10,7:10am,67,5,2,11,0,0,0.571,292.9,0.667,0.667,6,1,39.514,71.151,3.034,-1.796,-0.792,-0.827,-0.177,4.830,yes,yes
,25157,"Hodges, Lee",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T6,70,3,1,10:20am,67,4,1,13,0,0,0.429,290.7,0.778,1.000,6,3,37.318,46.940,3.135,1.983,1.606,0.542,-0.165,1.153,yes,yes
,25157,"Hodges, Lee",pga,2026,2026,6,Sony Open in Hawaii,2026-01-17,Waialae Country Club,6,T6,70,4,1,11:55am,65,5,0,13,0,0,0.714,304.8,0.889,1.000,3,0,24.834,48.176,2.919,0.976,0.290,-0.152,0.838,1.942,yes,yes
