,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Peformance Notes,Rank,DG ID,Player Name,Top 5,Top 10,Weighted Score,Past Perf. Mult.,SG Total,SG Total Trend,Driving Distance,Driving Distance Trend,Driving Accuracy,Driving Accuracy Trend,SG T2G,SG T2G Trend,SG Approach,SG Approach Trend,SG Around Green,SG Around Green Trend,SG OTT,SG OTT Trend,SG Putting,SG Putting Trend,Greens in Regulation,Greens in Regulation Trend,Scrambling,Scrambling Trend,Great Shots,Great Shots Trend,Poor Shots,Poor Shots Trend,Scoring Average,Scoring Average Trend,Birdies or Better,Birdies or Better Trend,Birdie Chances Created,Birdie Chances Created Trend,Fairway Proximity,Fairway Proximity Trend,Rough Proximity,Rough Proximity Trend,Approach <100 GIR,Approach <100 SG,Approach <100 Prox,Approach <150 FW GIR,Approach <150 FW SG,Approach <150 FW Prox,Approach <150 Rough GIR,Approach <150 Rough SG,Approach <150 Rough Prox,Approach >150 Rough GIR,Approach >150 Rough SG,Approach >150 Rough Prox,Approach <200 FW GIR,Approach <200 FW SG,Approach <200 FW Prox,Approach >200 FW GIR,Approach >200 FW SG,Approach >200 FW Prox,Refined Weighted Score,WAR,Delta Trend Score,Delta Predictive Score
"↑ Above average | 💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-0.88 (-0.109) [S↑ M↑ L↓ VL↓]",1,18417,"Scheffler, Scottie",17,22,1.43,1.153,3.414,0.007,292.296,0.011,64.29%,0.009,2.745,0.011,1.088,0.008,0.699,-0.014,0.958,0.025,1.023,0.074,68.83%,0.022,71.44%,0.005,4.044,0.035,2.867,0.025,68.065,0.000,5.135,0.000,7.667,0.000,31.301,0.012,46.981,-0.023,88.30%,1.692,14.749,85.30%,0.828,18.799,55.40%,0.360,39.658,38.40%,1.710,54.864,76.70%,1.332,26.103,51.70%,1.404,39.219,1.41,0.88,-0.144,-0.072
"↑ Above average | 💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.74 (0.176) [S↓ M↑ L↑ VL↓]",2,22085,"Morikawa, Collin",8,10,0.98,0.914,1.272,0.251,287.896,-0.004,75.07%,0.007,1.249,0.182,0.642,0.268,0.027,0.160,0.580,0.067,0.268,-0.234,63.48%,0.031,67.57%,0.024,3.374,0.047,4.091,-0.034,70.412,-0.007,4.491,0.080,4.179,0.000,30.378,-0.017,56.907,-0.046,88.50%,0.252,16.352,83.50%,0.900,18.285,61.80%,1.188,32.926,31.00%,0.000,62.549,74.30%,1.080,27.262,49.60%,0.900,41.734,0.96,0.55,0.623,0.074
"↑ Above average | 💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=0.97 (0.216) [S↑ M↑ L↑ VL↓]",3,14578,"Henley, Russell",5,7,0.97,1.03,1.252,0.009,264.992,0.004,72.07%,0.026,1.491,0.043,0.775,-0.077,0.527,0.062,0.189,15.979,0.052,-3.288,62.89%,0.015,56.83%,0.000,3.102,-0.009,3.353,-0.008,70.213,0.000,4.213,0.021,4.788,0.000,29.167,-0.005,42.254,-0.046,85.40%,1.746,12.617,82.20%,0.360,20.023,57.10%,1.170,36.343,32.80%,0.936,58.618,76.90%,0.504,29.395,48.20%,1.188,39.695,0.96,0.53,0.772,0.114
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.33 (0.279) [S↓ M↑ L↑ VL↓]",4,17511,"Straka, Sepp",5,7,0.92,0.983,1.951,0.117,281.924,0.011,73.84%,0.017,1.359,0.039,0.601,-0.097,0.067,1.985,0.690,0.091,0.233,0.032,65.41%,0.021,60.00%,0.006,4.226,0.044,4.156,0.045,69.586,-0.003,4.875,0.032,3.854,0.000,28.734,0.013,40.833,-0.023,82.60%,0.720,16.530,84.70%,1.026,17.761,47.90%,-0.180,42.752,32.00%,-0.090,54.493,73.60%,0.972,27.266,57.60%,0.900,39.568,0.91,0.48,0.984,0.125
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.66 (0.162) [S↑ M↓ L↑ VL↓]",5,10091,"McIlroy, Rory",7,10,0.83,1.061,1.504,-0.016,314.310,0.000,54.01%,0.015,1.280,-0.044,0.471,0.207,0.648,-0.100,0.161,-0.207,0.314,0.175,57.79%,0.000,70.56%,0.008,4.148,-0.016,3.943,0.007,70.244,0.000,4.529,0.037,4.650,0.000,35.479,-0.004,52.250,-0.048,81.10%,-1.242,16.088,82.50%,0.720,18.935,57.60%,0.000,39.650,40.60%,1.764,60.896,66.80%,0.108,28.609,53.50%,1.476,39.650,0.82,0.43,0.697,0.076
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.50 (-0.042) [S↓ M↓ L↑ VL↓]",6,13562,"Matsuyama, Hideki",4,7,0.75,1.074,1.086,0.000,284.163,0.000,56.50%,0.015,0.411,-0.062,0.015,0.000,0.766,0.016,-0.369,0.279,0.690,0.187,60.69%,0.014,74.78%,0.005,3.519,-0.003,4.189,0.008,70.478,0.000,4.054,0.018,4.130,0.000,30.841,0.020,56.221,-0.010,82.70%,0.648,15.651,81.70%,0.324,20.660,48.80%,-0.270,39.663,29.30%,0.594,53.641,73.50%,1.080,26.384,50.30%,1.278,37.657,0.74,0.44,0.242,-0.066
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Off tee | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.52 (-0.221) [S↑ M↑ L↓ VL↓]",7,18841,"Hovland, Viktor",6,9,0.62,0.987,0.379,-0.346,287.041,-0.007,64.04%,0.008,0.301,-0.258,0.446,-0.044,0.148,0.103,-0.293,0.420,-0.350,0.235,61.08%,0.005,61.78%,0.009,3.370,0.000,3.668,0.007,71.384,0.000,4.036,-0.005,5.286,0.000,29.797,0.000,73.410,-0.045,91.10%,1.458,14.883,83.20%,0.702,18.604,62.60%,0.720,35.652,36.40%,0.612,65.524,73.00%,1.656,24.515,52.60%,0.792,38.015,0.62,0.46,-0.341,-0.123
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.34 (0.106) [S↓ M↓ L↑ VL↓]",8,11889,"Fox, Ryan",0,0,0.59,0.969,1.048,0.097,297.562,0.000,54.01%,0.014,0.732,-0.018,0.188,-0.210,0.155,-0.110,0.389,0.300,0.668,-0.912,64.44%,0.017,63.25%,0.014,3.294,0.026,3.893,-0.029,70.820,-0.005,4.190,0.051,3.281,0.000,31.618,-0.011,54.512,-0.008,85.50%,-0.234,17.545,81.80%,0.306,20.180,61.60%,1.422,33.387,42.20%,1.116,59.074,65.90%,-0.036,29.382,45.80%,0.432,41.680,0.58,0.32,0.360,0.039
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.87 (-0.106) [S↑ M↑ L↑ VL↓]",9,13900,"Lowry, Shane",3,6,0.53,1.025,0.410,0.088,284.204,-0.003,70.02%,0.009,0.520,0.033,0.984,0.044,-0.161,-0.095,-0.302,-0.164,0.355,0.350,70.42%,0.023,57.63%,0.007,3.265,0.027,4.499,-0.010,71.736,-0.004,3.686,0.044,5.517,0.000,29.093,-0.004,57.762,0.009,84.20%,-0.090,15.783,82.70%,0.432,18.993,59.60%,0.594,37.046,40.80%,1.224,55.831,74.30%,1.512,26.561,56.70%,1.044,43.008,0.52,0.46,0.119,-0.034
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.07 (0.033) [S↓ M↑ L↑ VL↓]",10,19895,"Schauffele, Xander",5,11,0.57,0.917,0.726,0.048,298.373,0.000,56.69%,0.029,0.817,-0.037,0.154,-0.276,0.078,0.130,0.586,0.139,0.554,0.302,58.99%,0.014,60.04%,0.026,4.050,-0.015,3.737,-0.017,71.009,-0.004,4.299,0.031,2.016,0.000,32.357,0.020,50.190,-0.023,92.00%,1.260,14.632,80.40%,0.180,20.165,58.30%,0.396,37.600,34.50%,-0.198,65.504,72.70%,0.648,27.305,53.90%,0.612,40.290,0.56,0.31,0.362,0.013
