course_num,n,slope,intercept,r,t_stat,p_value
500,315,-9.047449,50.847980,-0.267092,-4.903487,0.000001
14,315,-9.047449,50.847980,-0.267092,-4.903487,0.000001
510,437,-4.731681,50.386710,-0.171451,-3.629649,0.000284
4,104,0.000000,46.951923,0.000000,0.000000,1.000000
104,42,0.000000,75.000000,0.000000,0.000000,1.000000
704,100,0.000000,44.810000,0.000000,0.000000,1.000000
665,119,0.000000,50.159664,0.000000,0.000000,1.000000
922,84,0.000000,48.928571,0.000000,0.000000,1.000000
927,80,0.000000,110.112500,0.000000,0.000000,1.000000
776,118,0.000000,48.966102,0.000000,0.000000,1.000000
21,38,0.000000,73.000000,0.000000,0.000000,1.000000
765,119,0.000000,49.033613,0.000000,0.000000,1.000000
919,119,0.000000,50.932773,0.000000,0.000000,1.000000
5,80,0.000000,39.012500,0.000000,0.000000,1.000000
939,72,0.000000,33.236111,0.000000,0.000000,1.000000
659,142,0.000000,54.971831,0.000000,0.000000,1.000000
800,127,0.000000,49.188976,0.000000,0.000000,1.000000
114,130,0.000000,50.676923,0.000000,0.000000,1.000000
202,24,0.000000,74.000000,0.000000,0.000000,1.000000
233,28,0.000000,74.000000,0.000000,0.000000,1.000000
232,20,0.000000,10.350000,0.000000,0.000000,1.000000
