# peak_timing_summary avg_return_to_form_index=6.687673338540017, median_return_to_form_index=3.1332605016815545
# peak_timing_status_counts no_baseline:426 | return_to_form:374 | already_better:128 | not_improving:645 | outside_window:149
# peak_timing_early_peakers Seiffert, Chase (0.0, seasons=2) | Gooch, Talor (0.0, seasons=3) | Hadwin, Adam (0.0, seasons=5)
# peak_timing_late_peakers Phillips, Chandler (342.0, seasons=3) | Hubbard, Mark (140.4, seasons=6) | Lee, S.T. (134.9, seasons=1)
# peak_timing_example Seiffert, Chase tends to reach baseline by event 0.0 (based on 2 seasons), indicating early-season readiness.
# peak_timing_example Gooch, Talor tends to reach baseline by event 0.0 (based on 3 seasons), indicating early-season readiness.
# peak_timing_example Hadwin, Adam tends to reach baseline by event 0.0 (based on 5 seasons), indicating early-season readiness.
# peak_timing_example Phillips, Chandler typically reaches baseline after event 6 (avg 342.0 over 3 seasons), suggesting a later peak.
# peak_timing_example Hubbard, Mark typically reaches baseline after event 6 (avg 140.4 over 6 seasons), suggesting a later peak.
# peak_timing_example Lee, S.T. typically reaches baseline after event 6 (avg 134.9 over 1 seasons), suggesting a later peak.
dg_id,player_name,seasons,avg_slope,avg_r,avg_return_to_form,return_to_form_count,trend
14609,"Kim, Si Woo",6,-0.217676,-0.096661,1.753,2,slow_starter
15466,"Cantlay, Patrick",6,-0.228676,-0.172764,5.983,3,slow_starter
17786,"Davis, Cameron",6,-0.131907,-0.122802,6.067,2,slow_starter
11676,"Finau, Tony",6,0.225409,0.274143,6.329,5,fast_starter
24550,"Ghim, Doug",6,0.218792,0.224428,3.706,4,fast_starter
8825,"Harman, Brian",6,0.151532,0.156855,8.327,3,fast_starter
12423,"Kirk, Chris",6,-0.200069,-0.227226,7.989,1,slow_starter
12577,"Woodland, Gary",6,-0.219499,-0.110070,58.883,2,slow_starter
12965,"Fowler, Rickie",6,-0.117977,-0.263318,6.760,1,slow_starter
17538,"Homa, Max",6,-0.249548,-0.166168,48.350,2,slow_starter
19477,"Schenk, Adam",6,-0.053396,-0.088298,17.914,1,slow_starter
12808,"Grillo, Emiliano",6,-0.001429,-0.029226,10.526,2,slow_starter
10419,"Noren, Alex",6,0.090924,0.122953,11.076,4,fast_starter
13126,"Taylor, Nick",6,0.024233,-0.049266,3.021,3,fast_starter
13470,"Kizzire, Patton",6,-0.267950,-0.220692,11.569,3,slow_starter
23604,"Clark, Wyndham",6,-0.075000,-0.011836,1.706,4,slow_starter
17550,"van Rooyen, Erik",6,0.082046,0.059862,4.637,3,fast_starter
18634,"McNealy, Maverick",6,0.079807,0.176526,1.475,3,fast_starter
25908,"Whaley, Vincent",6,0.194430,0.168651,7.824,4,fast_starter
18417,"Scheffler, Scottie",6,0.191738,0.300106,2.724,4,fast_starter
14509,"Dahmen, Joel",6,-0.014336,0.071971,3.380,3,slow_starter
14578,"Henley, Russell",6,0.254746,0.303636,3.181,4,fast_starter
19483,"Burns, Sam",6,-0.063121,-0.260585,14.896,2,slow_starter
17536,"Spaun, J.J.",6,-0.157089,-0.188821,0.000,2,slow_starter
19870,"McCarthy, Denny",6,0.085283,0.110863,2.429,2,fast_starter
16283,"Rodgers, Patrick",6,0.007896,0.072685,3.854,2,fast_starter
16333,"Hubbard, Mark",6,-0.284763,-0.351018,140.368,1,slow_starter
15470,"Hossler, Beau",6,-0.139615,-0.252723,0.914,1,slow_starter
14926,"Malnati, Peter",6,0.120421,0.133432,3.608,3,fast_starter
15575,"Hoge, Tom",6,-0.195282,-0.084346,0.909,2,slow_starter
11451,"Garnett, Brice",6,-0.144772,0.004082,4.396,2,slow_starter
17511,"Straka, Sepp",6,0.215713,-0.027578,3.493,2,fast_starter
21554,"Poston, J.T.",6,-0.052421,-0.196527,2.986,2,slow_starter
13872,"Bradley, Keegan",6,0.110535,0.148828,2.369,1,fast_starter
