"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score","Delta Predictive Score"
"↑ Above average | 💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | For Course Setup - ΔPred→ ΔTrend↓ | BucketSig ↓ z=-0.57 (-0.048) [S↑ M↑ L↓ VL↓]",1,"18417","Scheffler, Scottie",17,22,"1.69","1.119","3.423","0.007","292.294","0.011","64.36%","0.009","2.754","0.011","1.099","0.008","0.694","-0.014","0.961","0.025","1.039","0.074","68.83%","0.022","71.40%","0.005","4.047","0.035","2.866","0.025","68.067","0.000","5.134","0.000","7.670","0.000","31.308","0.012","46.978","-0.023","88.30%","1.692","14.749","85.30%","0.828","18.799","55.40%","0.360","39.658","38.40%","1.710","54.864","76.70%","1.332","26.103","51.70%","1.404","39.219","1.67","0.95","-0.073","-0.033"
"↑ Above average | 💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↑ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.00 (0.194) [S↓ M↑ L↑ VL↓]",2,"17511","Straka, Sepp",5,7,"1.12","0.986","2.008","0.117","282.013","0.011","74.12%","0.017","1.397","0.039","0.629","-0.097","0.066","1.985","0.701","0.091","0.288","0.032","65.53%","0.021","59.93%","0.006","4.247","0.044","4.130","0.045","69.533","-0.003","4.894","0.032","3.886","0.000","28.807","0.013","40.774","-0.023","82.60%","0.720","16.530","84.70%","1.026","17.761","47.90%","-0.180","42.752","32.00%","-0.090","54.493","73.60%","0.972","27.266","57.60%","0.900","39.568","1.11","0.61","0.721","0.083"
"↑ Above average | 💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.62 (0.135) [S↓ M↑ L↑ VL↓]",3,"22085","Morikawa, Collin",8,10,"1.04","0.934","1.278","0.251","287.900","-0.004","75.16%","0.007","1.254","0.182","0.642","0.268","0.028","0.160","0.585","0.067","0.104","-0.234","63.47%","0.031","67.57%","0.024","3.372","0.047","4.085","-0.034","70.414","-0.007","4.485","0.080","4.141","0.000","30.407","-0.017","56.880","-0.046","88.50%","0.252","16.352","83.50%","0.900","18.285","61.80%","1.188","32.926","31.00%","0.000","62.549","74.30%","1.080","27.262","49.60%","0.900","41.734","1.02","0.57","0.483","0.056"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.73 (0.152) [S↑ M↑ L↑ VL↓]",4,"14578","Henley, Russell",5,7,"0.97","1.025","1.279","0.009","265.005","0.004","72.33%","0.026","1.517","0.043","0.786","-0.077","0.526","0.062","0.205","15.979","0.084","-3.288","62.74%","0.015","56.74%","0.000","3.135","-0.009","3.312","-0.008","70.212","0.000","4.220","0.021","4.794","0.000","29.208","-0.005","41.987","-0.046","85.40%","1.746","12.617","82.20%","0.360","20.023","57.10%","1.170","36.343","32.80%","0.936","58.618","76.90%","0.504","29.395","48.20%","1.188","39.695","0.96","0.50","0.557","0.074"
"↑ Above average | 💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.56 (0.127) [S↑ M↓ L↑ VL↓]",5,"10091","McIlroy, Rory",7,10,"0.94","1.045","1.527","-0.016","314.138","0.000","54.27%","0.015","1.274","-0.044","0.471","0.207","0.650","-0.100","0.153","-0.207","0.662","0.175","57.50%","0.000","70.70%","0.008","4.178","-0.016","3.944","0.007","70.244","0.000","4.539","0.037","4.729","0.000","35.566","-0.004","52.388","-0.048","81.10%","-1.242","16.088","82.50%","0.720","18.935","57.60%","0.000","39.650","40.60%","1.764","60.896","66.80%","0.108","28.609","53.50%","1.476","39.650","0.93","0.51","0.548","0.059"
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.06 (0.030) [S↓ M↓ L↑ VL↓]",6,"13562","Matsuyama, Hideki",4,7,"0.83","1.054","1.086","0.000","284.190","0.000","56.65%","0.015","0.419","-0.062","0.018","0.000","0.769","0.016","-0.368","0.279","0.600","0.187","60.52%","0.014","74.89%","0.005","3.511","-0.003","4.193","0.008","70.495","0.000","4.039","0.018","4.111","0.000","30.892","0.020","56.154","-0.010","82.70%","0.648","15.651","81.70%","0.324","20.660","48.80%","-0.270","39.663","29.30%","0.594","53.641","73.50%","1.080","26.384","50.30%","1.278","37.657","0.82","0.48","0.368","-0.023"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Off tee | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.32 (-0.165) [S↑ M↑ L↓ VL↓]",7,"18841","Hovland, Viktor",6,9,"0.70","0.987","0.394","-0.346","287.030","-0.007","64.04%","0.008","0.313","-0.258","0.452","-0.044","0.153","0.103","-0.293","0.420","-0.306","0.235","61.06%","0.005","61.83%","0.009","3.373","0.000","3.662","0.007","71.372","0.000","4.039","-0.005","5.298","0.000","29.775","0.000","73.499","-0.045","91.10%","1.458","14.883","83.20%","0.702","18.604","62.60%","0.720","35.652","36.40%","0.612","65.524","73.00%","1.656","24.515","52.60%","0.792","38.015","0.69","0.44","-0.249","-0.091"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.08 (0.027) [S↓ M↑ L↑ VL↓]",8,"19895","Schauffele, Xander",5,11,"0.69","0.927","0.726","0.048","298.373","0.000","56.69%","0.029","0.817","-0.037","0.154","-0.276","0.078","0.130","0.586","0.139","0.514","0.302","58.99%","0.014","60.04%","0.026","4.050","-0.015","3.737","-0.017","71.010","-0.004","4.299","0.031","2.006","0.000","32.357","0.020","50.190","-0.023","92.00%","1.260","14.632","80.40%","0.180","20.165","58.30%","0.396","37.600","34.50%","-0.198","65.504","72.70%","0.648","27.305","53.90%","0.612","40.290","0.68","0.43","0.286","0.011"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.38 (0.099) [S↑ M↑ L↑ VL↓]",9,"12294","Fleetwood, Tommy",5,7,"0.69","1.023","1.599","0.094","288.134","-0.003","64.47%","-0.009","1.362","0.038","1.124","0.127","0.230","-0.044","0.008","-0.028","0.311","-0.520","63.18%","0.017","66.58%","0.027","3.915","-0.022","3.673","-0.024","70.589","-0.005","4.421","0.046","2.173","0.000","32.702","-0.012","57.264","-0.051","90.30%","0.828","15.164","84.10%","0.468","19.398","58.20%","-0.144","39.966","35.50%","-0.054","69.928","69.40%","0.756","28.322","47.70%","0.450","42.276","0.68","0.39","0.517","0.041"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-2.30 (-0.315) [S↑ M↓ L↓ VL↓]",10,"14609","Kim, Si Woo",4,7,"0.59","1.082","1.277","-0.038","285.380","0.021","69.82%","0.023","1.086","-0.008","0.274","-0.029","0.272","0.000","0.539","0.021","0.030","0.026","61.34%","0.030","63.20%","0.030","3.712","0.025","3.952","0.042","70.262","0.000","4.201","-0.008","3.781","0.000","29.943","0.043","52.838","-0.005","83.80%","-0.324","16.559","77.80%","0.090","21.934","51.50%","0.126","36.730","37.00%","0.234","65.621","72.10%","1.350","26.006","49.60%","1.206","39.045","0.58","0.43","-0.591","-0.162"
