,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,dg_id,player_name,tour,season,year,event_id,event_name,event_completed,course_name,course_num,fin_text,course_par,round_num,start_hole,teetime,score,birdies,bogies,pars,eagles_or_better,doubles_or_worse,driving_acc,driving_dist,gir,scrambling,great_shots,poor_shots,prox_fw,prox_rgh,sg_total,sg_t2g,sg_app,sg_arg,sg_ott,sg_putt,sg_categories,traditional_stats
,27774,"Gotterup, Chris",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,1,71,1,10,8:15am,63,6,0,11,1,0,0.500,311.6,0.833,0.833,6,0,31.993,36.628,7.886,5.098,3.479,1.012,0.607,2.788,yes,yes
,27774,"Gotterup, Chris",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,1,71,2,1,12:55pm,71,2,4,11,1,0,0.500,318.2,0.556,0.636,5,4,37.257,51.974,-0.713,2.392,-1.479,3.114,0.757,-3.105,yes,yes
,27774,"Gotterup, Chris",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,1,71,3,1,11:24am,70,2,1,15,0,0,0.500,314.9,0.722,0.667,2,2,32.306,56.969,-0.164,0.708,0.632,-0.110,0.186,-0.873,yes,yes
,27774,"Gotterup, Chris",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,1,71,4,1,10:13am,64,9,2,7,0,0,0.714,326.3,0.778,1.000,6,1,27.380,17.998,5.685,5.115,2.180,0.442,2.493,0.571,yes,yes
,13562,"Matsuyama, Hideki",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,2,71,1,1,12:33pm,68,3,0,15,0,0,0.357,305.0,0.611,1.000,2,2,29.717,55.046,2.886,1.723,0.843,1.960,-1.080,1.163,yes,yes
,13562,"Matsuyama, Hideki",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,2,71,2,10,7:53am,64,8,1,9,0,0,0.714,301.3,0.667,0.714,7,0,31.648,29.156,6.287,3.952,2.399,0.708,0.845,2.335,yes,yes
,13562,"Matsuyama, Hideki",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,2,71,3,1,11:35am,68,5,2,11,0,0,0.500,305.3,0.722,0.714,3,3,27.776,35.642,1.836,1.036,1.618,0.980,-1.562,0.799,yes,yes
,13562,"Matsuyama, Hideki",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,2,71,4,1,10:57am,68,4,1,13,0,0,0.214,307.5,0.667,0.667,5,2,21.643,49.950,1.685,-0.085,1.769,1.157,-3.011,1.771,yes,yes
,26649,"Thorbjornsen, Michael",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,1,1,7:31am,66,7,2,9,0,0,0.714,311.3,0.889,1.000,4,1,25.821,48.987,4.886,3.220,0.822,1.021,1.377,1.666,yes,yes
,26649,"Thorbjornsen, Michael",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,2,10,12:11pm,71,2,2,14,0,0,0.786,321.3,0.722,0.857,4,2,34.746,113.105,-0.713,2.171,-2.040,1.712,2.499,-2.884,yes,yes
,26649,"Thorbjornsen, Michael",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,3,1,10:07am,65,7,1,10,0,0,0.643,315.3,0.889,0.750,5,0,27.599,51.228,4.836,2.964,2.045,0.040,0.879,1.871,yes,yes
,26649,"Thorbjornsen, Michael",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,4,1,10:46am,67,4,2,11,1,0,0.571,323.5,0.667,0.667,4,3,26.325,43.491,2.685,1.906,1.297,0.410,0.199,0.780,yes,yes
,26096,"Bhatia, Akshay",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,1,10,12:44pm,68,4,1,13,0,0,0.643,309.3,0.722,0.800,6,3,35.531,55.610,2.886,1.934,1.522,-1.003,1.415,0.952,yes,yes
,26096,"Bhatia, Akshay",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,2,1,8:04am,67,2,0,15,1,0,0.714,301.7,0.778,0.833,5,3,25.071,46.785,3.287,2.286,2.069,-0.010,0.227,1.001,yes,yes
,26096,"Bhatia, Akshay",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,3,1,11:24am,67,7,3,8,0,0,0.571,310.5,0.722,0.500,4,2,23.828,66.237,2.836,-0.392,0.399,-1.230,0.439,3.227,yes,yes
,26096,"Bhatia, Akshay",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,4,1,10:35am,67,5,1,12,0,0,0.500,314.7,0.722,0.857,3,2,34.676,35.245,2.685,2.275,0.650,1.402,0.223,0.411,yes,yes
,14609,"Kim, Si Woo",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,1,1,12:55pm,73,3,5,10,0,0,0.857,305.0,0.444,0.636,2,3,30.127,86.042,-2.114,-0.690,-3.557,1.332,1.535,-1.424,yes,yes
,14609,"Kim, Si Woo",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,2,10,8:15am,62,8,1,8,1,0,0.929,303.3,0.944,0.500,6,1,17.343,21.986,8.287,6.146,4.993,-0.636,1.789,2.141,yes,yes
,14609,"Kim, Si Woo",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,3,1,11:24am,66,4,1,12,1,0,0.643,304.7,0.667,0.750,4,4,28.743,47.615,3.836,4.393,2.823,0.973,0.597,-0.558,yes,yes
,14609,"Kim, Si Woo",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,4,1,10:46am,68,3,0,15,0,0,0.643,306.7,0.778,0.875,1,4,31.539,64.271,1.685,3.516,0.499,2.545,0.472,-1.830,yes,yes
,18417,"Scheffler, Scottie",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,1,10,8:15am,73,5,5,7,0,1,0.714,313.9,0.667,0.667,5,6,42.731,61.795,-2.114,-2.439,-0.521,-1.901,-0.017,0.325,yes,yes
,18417,"Scheffler, Scottie",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,2,1,12:55pm,65,6,0,12,0,0,0.643,317.1,0.889,0.750,7,1,26.481,49.886,5.287,3.713,1.925,0.873,0.915,1.574,yes,yes
,18417,"Scheffler, Scottie",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,3,1,9:34am,67,5,1,12,0,0,0.571,315.4,0.778,0.714,2,1,33.187,46.972,2.836,2.686,0.326,1.625,0.735,0.149,yes,yes
,18417,"Scheffler, Scottie",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,4,1,10:02am,64,7,0,11,0,0,0.571,330.0,0.889,1.000,5,0,27.514,43.706,5.685,4.523,1.327,1.499,1.697,1.163,yes,yes
,23602,"Hojgaard, Nicolai",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,1,10,7:31am,66,5,0,13,0,0,0.714,317.6,0.778,0.667,5,4,26.434,37.171,4.886,5.105,2.965,0.221,1.919,-0.219,yes,yes
,23602,"Hojgaard, Nicolai",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,2,1,12:11pm,70,3,2,13,0,0,0.571,309.9,0.611,0.667,3,1,33.005,61.960,0.287,-0.524,0.036,-1.075,0.515,0.811,yes,yes
,23602,"Hojgaard, Nicolai",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,3,1,10:40am,65,6,0,12,0,0,0.714,319.4,0.889,1.000,5,1,23.061,29.820,4.836,5.737,3.789,0.640,1.308,-0.902,yes,yes
,23602,"Hojgaard, Nicolai",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,T3,71,4,1,10:57am,68,4,0,12,1,1,0.643,317.3,0.556,0.857,5,4,31.408,66.951,1.685,-1.212,-3.062,1.006,0.844,2.898,yes,yes
,19396,"Knapp, Jake",pga,2026,2026,3,WM Phoenix Open,2026-02-07,TPC Scottsdale (Stadium Course),510,8,71,1,1,7:53am,67,4,2,11,1,0,0.571,316.1,0.722,0.571,4,1,29.039,37.470,3.886,4.676,0.777,2.209,1.690,-0.790,yes,yes
