Time,Message
10:36:51 AM,[LOG] Debug log capture initialized
10:36:52 AM,[LOG] Starting generatePlayerRankings
10:39:33 AM,[SNAPSHOT] Players processed: 123
10:39:33 AM,[SNAPSHOT] Target player found: YES
10:39:33 AM,"[SNAPSHOT] Scheffler, Scottie DG ID: 18417"
10:39:33 AM,[SNAPSHOT] Round Categorization:
10:39:33 AM,[SNAPSHOT]   Putting rounds: 28
10:39:33 AM,[SNAPSHOT]   Historical rounds: 16
10:39:33 AM,[SNAPSHOT]   Similar rounds: 60
10:39:33 AM,"[SNAPSHOT]     Putting Round 0: event=3, sg_putt=0.673, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 1: event=3, sg_putt=3.471, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 2: event=3, sg_putt=-0.252, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 3: event=3, sg_putt=-1.807, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Putting Round 4: event=3, sg_putt=-1.77, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 5: event=3, sg_putt=0.949, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 6: event=3, sg_putt=0.635, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 7: event=3, sg_putt=0.612, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Putting Round 8: event=3, sg_putt=3.162, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 9: event=3, sg_putt=3.162, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 10: event=3, sg_putt=0.05, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 11: event=3, sg_putt=0.05, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 12: event=3, sg_putt=1.197, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 13: event=3, sg_putt=1.197, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 14: event=3, sg_putt=-0.252, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Putting Round 15: event=3, sg_putt=-0.252, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Putting Round 16: event=3, sg_putt=1.06, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 17: event=3, sg_putt=2.798, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 18: event=3, sg_putt=1.735, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 19: event=3, sg_putt=0.901, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Putting Round 20: event=475, sg_putt=-0.602, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 21: event=475, sg_putt=1.284, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 22: event=475, sg_putt=0.344, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 23: event=475, sg_putt=-0.83, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Putting Round 24: event=3, sg_putt=-1.664, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Putting Round 25: event=3, sg_putt=2.55, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Putting Round 26: event=3, sg_putt=1.989, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Putting Round 27: event=3, sg_putt=2.232, roundNum=1"
10:39:33 AM,[SNAPSHOT]   Historical sg_putt values:
10:39:33 AM,"[SNAPSHOT]     Historical Round 0: event=2, sg_putt=0.116, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Historical Round 1: event=2, sg_putt=1.843, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Historical Round 2: event=2, sg_putt=0, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Historical Round 3: event=2, sg_putt=0, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Historical Round 4: event=478, sg_putt=-1.499, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Historical Round 5: event=478, sg_putt=3.012, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Historical Round 6: event=478, sg_putt=0.549, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Historical Round 7: event=478, sg_putt=2.672, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Historical Round 8: event=464, sg_putt=-0.839, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Historical Round 9: event=464, sg_putt=3.002, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Historical Round 10: event=464, sg_putt=0.898, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Historical Round 11: event=464, sg_putt=-1.388, roundNum=1"
10:39:33 AM,"[SNAPSHOT]     Historical Round 12: event=60, sg_putt=0.196, roundNum=4"
10:39:33 AM,"[SNAPSHOT]     Historical Round 13: event=60, sg_putt=-2.575, roundNum=3"
10:39:33 AM,"[SNAPSHOT]     Historical Round 14: event=60, sg_putt=-0.052, roundNum=2"
10:39:33 AM,"[SNAPSHOT]     Historical Round 15: event=60, sg_putt=2.897, roundNum=1"
10:39:33 AM,[SNAPSHOT]   Weighted Average SG Putt (lambda=0.2): 0.5944803468078294
10:39:33 AM,[SNAPSHOT]   Calculation: 0.116*exp(-0.2*0) + 1.843*exp(-0.2*1) + 0*exp(-0.2*2) + 0*exp(-0.2*3) + -1.499*exp(-0.2*4) + 3.012*exp(-0.2*5) + 0.549*exp(-0.2*6) + 2.672*exp(-0.2*7) + -0.839*exp(-0.2*8) + 3.002*exp(-0.2*9) + 0.898*exp(-0.2*10) + -1.388*exp(-0.2*11) + 0.196*exp(-0.2*12) + -2.575*exp(-0.2*13) + -0.052*exp(-0.2*14) + 2.897*exp(-0.2*15) / sum(weights)
10:39:33 AM,[SNAPSHOT] Approach Metrics Raw Data:
10:39:33 AM,[SNAPSHOT]   <100 FW GIR: 0.861
10:39:33 AM,[SNAPSHOT]   <100 SG (per-shot): 0.079
10:39:33 AM,[SNAPSHOT]   <100 Prox: 14.973
10:39:33 AM,[SNAPSHOT]   <150 FW GIR: 0.86
