,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,dg_id,player_name,tour,season,year,event_id,event_name,event_completed,course_name,course_num,fin_text,course_par,round_num,start_hole,teetime,score,birdies,bogies,pars,eagles_or_better,doubles_or_worse,driving_acc,driving_dist,gir,scrambling,great_shots,poor_shots,prox_fw,prox_rgh,sg_total,sg_t2g,sg_app,sg_arg,sg_ott,sg_putt,sg_categories,traditional_stats
,6093,"Rose, Justin",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (North Course),104,1,72,1,10,10:38 AM,62,10,0,8,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,7.139,NaN,NaN,NaN,NaN,NaN,yes,yes
,6093,"Rose, Justin",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,1,72,2,1,9:32 AM,65,6,1,10,1,0,0.643,297.8,0.722,1,5,1,20.849,50.836,7.394,3.807,3.147,0.357,0.303,3.587,yes,yes
,6093,"Rose, Justin",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,1,72,3,1,10:07 AM,68,7,3,8,0,0,0.714,300.2,0.778,0.429,3,2,17.552,96.777,3.811,4.838,3.697,-0.017,1.158,-1.026,yes,yes
,6093,"Rose, Justin",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,1,72,4,1,9:37 AM,70,3,1,14,0,0,0.429,303.0,0.833,0.75,3,0,45.687,52.889,0.541,-0.463,-0.251,-0.589,0.377,1.003,yes,yes
,28309,"Coody, Pierceson",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (North Course),104,T2,72,1,10,11:11 AM,68,7,3,8,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,1.139,NaN,NaN,NaN,NaN,NaN,yes,yes
,28309,"Coody, Pierceson",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,T2,72,2,1,10:05 AM,70,4,2,12,0,0,0.714,314.2,0.667,0.6,4,1,28.61,50.108,2.394,3.003,1.133,0.163,1.707,-0.609,yes,yes
,28309,"Coody, Pierceson",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,T2,72,3,1,8:28 AM,69,4,1,13,0,0,0.5,318.0,0.833,1,2,3,32.515,38.883,2.811,1.491,-0.940,0.886,1.545,1.321,yes,yes
,28309,"Coody, Pierceson",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,T2,72,4,1,8:42 AM,65,9,2,7,0,0,0.571,315.9,0.778,0.667,9,1,26.915,13.182,5.541,3.530,2.488,-0.088,1.130,2.010,yes,yes
,14609,"Kim, Si Woo",pga,2026,2026,4,Farmers Insurance Open,2026-01-31,Torrey Pines Golf Course (South Course),4,T2,72,1,1,9:21 AM,68,5,3,9,1,0,0.643,290.0,0.833,0,7,2,25.68,25.17,4.480,4.508,5.207,-0.620,-0.079,-0.028,yes,yes
