Rank,Player Name,DG ID,Data Coverage %,Dampening Applied?,Group Scores (Before Dampening),Group Scores (After Dampening if applicable),Weighted Score,Confidence Factor,Past Perf Multiplier,Refined Weighted Score,Final WAR,Notes
1,"Finau, Tony",11676,95.1,NO,Driving Performance: 11.868; Approach - Short (<100): -0.469; Approach - Mid (100-150): -0.214; Approach - Long (150-200): 0.150; Approach - Very Long (>200): -0.157; Putting: -0.594; Around the Green: -0.773; Scoring: -0.071; Course Management: 0.035,,1.303,0.988,0.893,1.287,0.04,
2,"Kim, S.H.",21688,95.1,NO,Driving Performance: 12.725; Approach - Short (<100): -0.579; Approach - Mid (100-150): -0.458; Approach - Long (150-200): -0.687; Approach - Very Long (>200): -1.219; Putting: -0.346; Around the Green: 0.789; Scoring: -1.037; Course Management: -0.239,,1.322,0.988,0.87,1.306,-0.06,
3,"Ewart, A.J.",21883,70.7,NO,Driving Performance: 8.854; Approach - Short (<100): 0.144; Approach - Mid (100-150): 0.350; Approach - Long (150-200): -0.514; Approach - Very Long (>200): 1.216; Putting: 1.081; Around the Green: -0.683; Scoring: -0.197; Course Management: 0.194,,1.135,0.921,0.896,1.045,0.03,
4,"Simpson, Webb",11049,92.7,NO,Driving Performance: 7.948; Approach - Short (<100): -0.117; Approach - Mid (100-150): -0.113; Approach - Long (150-200): -0.424; Approach - Very Long (>200): 0.434; Putting: -1.244; Around the Green: 1.428; Scoring: 0.190; Course Management: -0.186,,1.108,0.981,0.839,1.087,0.07,
5,"Davis, Cam",17786,95.1,NO,Driving Performance: 9.319; Approach - Short (<100): 0.025; Approach - Mid (100-150): -0.227; Approach - Long (150-200): -0.744; Approach - Very Long (>200): -0.503; Putting: -1.380; Around the Green: 0.942; Scoring: -0.326; Course Management: -0.307,,1.067,0.988,0.805,1.054,-0.07,
6,"Nakajima, Keita",21074,75.6,NO,Driving Performance: 5.031; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.487; Approach - Long (150-200): 0.521; Approach - Very Long (>200): 0.238; Putting: -1.808; Around the Green: -0.832; Scoring: 0.999; Course Management: 0.389,,0.901,0.935,0.796,0.842,0.27,
7,"Bauchou, Zach",19846,70.7,NO,Driving Performance: 7.352; Approach - Short (<100): -0.962; Approach - Mid (100-150): -0.244; Approach - Long (150-200): 0.206; Approach - Very Long (>200): 1.216; Putting: 0.308; Around the Green: 0.713; Scoring: -0.116; Course Management: 0.169,,0.958,0.921,0.842,0.882,0.07,
8,"Parry, John",13764,95.1,NO,Driving Performance: 4.713; Approach - Short (<100): 0.521; Approach - Mid (100-150): 0.337; Approach - Long (150-200): 0.099; Approach - Very Long (>200): -0.418; Putting: -0.212; Around the Green: 0.370; Scoring: 0.809; Course Management: -0.055,,0.882,0.988,0.867,0.871,0.25,
9,"Li, Haotong",15310,95.1,NO,Driving Performance: 6.847; Approach - Short (<100): 0.712; Approach - Mid (100-150): 0.002; Approach - Long (150-200): 0.750; Approach - Very Long (>200): -0.228; Putting: 1.050; Around the Green: -3.046; Scoring: 0.652; Course Management: -0.113,,0.761,0.988,0.966,0.751,0.12,
10,"Hovland, Viktor",18841,95.1,NO,Driving Performance: 1.035; Approach - Short (<100): 0.505; Approach - Mid (100-150): 0.374; Approach - Long (150-200): 0.528; Approach - Very Long (>200): 0.430; Putting: 1.912; Around the Green: -0.026; Scoring: 1.536; Course Management: 0.124,,0.635,0.988,1.019,0.627,0.39,
