Rank,Player Name,DG ID,Data Coverage %,Dampening Applied?,Group Scores (Before Dampening),Group Scores (After Dampening if applicable),Weighted Score,Confidence Factor,Past Perf Multiplier,Refined Weighted Score,Final WAR,Notes
1,"Kim, S.H.",21688,95.1,NO,Driving Performance: 12.681; Approach - Short (<100): -0.579; Approach - Mid (100-150): -0.458; Approach - Long (150-200): -0.687; Approach - Very Long (>200): -1.219; Putting: -0.342; Around the Green: 0.800; Scoring: -1.030; Course Management: -0.242,,1.319,0.988,0.87,1.303,-0.06,
2,"Simpson, Webb",11049,92.7,NO,Driving Performance: 7.919; Approach - Short (<100): -0.117; Approach - Mid (100-150): -0.113; Approach - Long (150-200): -0.424; Approach - Very Long (>200): 0.434; Putting: -1.249; Around the Green: 1.466; Scoring: 0.189; Course Management: -0.187,,1.109,0.981,0.839,1.089,0.07,
3,"Li, Haotong",15310,95.1,NO,Driving Performance: 4.907; Approach - Short (<100): 0.712; Approach - Mid (100-150): 0.002; Approach - Long (150-200): 0.750; Approach - Very Long (>200): -0.228; Putting: 0.103; Around the Green: 0.306; Scoring: 1.153; Course Management: 0.105,,1.031,0.988,0.966,1.018,0.36,
4,"Ewart, A.J.",21883,70.7,NO,Driving Performance: 8.821; Approach - Short (<100): 0.144; Approach - Mid (100-150): 0.350; Approach - Long (150-200): -0.514; Approach - Very Long (>200): 1.216; Putting: 1.098; Around the Green: -0.734; Scoring: -0.190; Course Management: 0.192,,1.124,0.921,0.896,1.035,0.03,
5,"Nakajima, Keita",21074,75.6,NO,Driving Performance: 5.006; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.487; Approach - Long (150-200): 0.521; Approach - Very Long (>200): 0.238; Putting: -1.818; Around the Green: -0.890; Scoring: 1.004; Course Management: 0.387,,0.889,0.935,0.796,0.831,0.27,
6,"Bauchou, Zach",19846,70.7,NO,Driving Performance: 7.324; Approach - Short (<100): -0.962; Approach - Mid (100-150): -0.244; Approach - Long (150-200): 0.206; Approach - Very Long (>200): 1.216; Putting: 0.318; Around the Green: 0.720; Scoring: -0.112; Course Management: 0.167,,0.957,0.921,0.842,0.881,0.07,
7,"Parry, John",13764,95.1,NO,Driving Performance: 4.692; Approach - Short (<100): 0.521; Approach - Mid (100-150): 0.337; Approach - Long (150-200): 0.099; Approach - Very Long (>200): -0.418; Putting: -0.207; Around the Green: 0.363; Scoring: 0.819; Course Management: -0.058,,0.879,0.988,0.867,0.869,0.25,
8,"Jaeger, Stephan",16394,95.1,NO,Driving Performance: 3.170; Approach - Short (<100): 0.473; Approach - Mid (100-150): -0.120; Approach - Long (150-200): 0.209; Approach - Very Long (>200): -0.397; Putting: -0.236; Around the Green: 1.112; Scoring: 0.345; Course Management: -0.033,,0.67,0.988,0.979,0.661,0.19,
9,"Mitchell, Keith",17365,95.1,NO,Driving Performance: 4.355; Approach - Short (<100): -0.353; Approach - Mid (100-150): -0.002; Approach - Long (150-200): -0.138; Approach - Very Long (>200): 0.057; Putting: -0.698; Around the Green: 0.648; Scoring: 0.548; Course Management: -0.017,,0.617,0.988,0.919,0.61,0.15,
10,"Dou, Zecheng",16757,51.2,YES,Driving Performance: 8.100; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.128; Approach - Long (150-200): 0.804; Approach - Very Long (>200): 1.216; Putting: -0.124; Around the Green: 0.312; Scoring: -0.070; Course Management: 0.906,Driving Performance: 3.897; Approach - Short (<100): 0.524; Approach - Mid (100-150): 0.062; Approach - Long (150-200): 0.387; Approach - Very Long (>200): 0.585; Putting: -0.059; Around the Green: 0.150; Scoring: -0.034; Course Management: 0.436,0.709,0.858,0.86,0.559,0.27,Dampened by √0.51 = 0.716
