,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,14796,"Hatton, Tyrrell",0.83,0.07,0.00,0.96,19.32,0.03,55.00,0.75,0.11,0.00,0.98,25.36,0.08,100.00,0.83,0.09,0.00,1.00,11.35,0.04,22.00,,,,,,,,0.49,0.04,0.00,0.95,44.73,0.02,56.00,0.43,0.00,0.00,0.94,37.98,-0.04,17
,18841,"Hovland, Viktor",0.84,0.10,0.00,0.95,18.87,0.06,243.00,0.72,0.08,0.00,0.97,25.83,0.08,351.00,0.88,0.12,0.00,0.97,16.03,0.03,85.00,0.39,0.06,0.00,0.98,64.53,0.03,122.00,0.52,0.07,0.00,0.97,38.24,0.06,200.00,0.63,0.05,0.00,0.94,36.13,0.02,94
,19428,"Zalatoris, Will",0.85,0.07,0.00,0.96,20.56,0.03,148.00,0.76,0.09,0.00,0.96,27.94,0.08,195.00,0.87,0.06,0.00,0.94,16.96,-0.03,52.00,0.38,0.07,0.00,0.97,58.27,0.04,73.00,0.43,0.07,0.00,0.94,47.64,0.01,105.00,0.64,0.06,0.00,0.95,36.21,0.00,73
,13900,"Lowry, Shane",0.82,0.06,0.00,0.94,19.64,0.03,280.00,0.73,0.08,0.00,0.97,26.96,0.07,376.00,0.85,0.15,0.00,0.96,15.13,0.04,93.00,0.40,0.08,0.00,0.97,54.41,0.05,130.00,0.53,0.07,0.00,0.97,43.61,0.05,205.00,0.61,0.06,0.00,0.97,35.33,0.03,88
,18417,"Scheffler, Scottie",0.87,0.09,0.00,0.97,18.33,0.07,326.00,0.76,0.06,0.00,0.97,26.57,0.07,445.00,0.85,0.12,0.00,0.96,14.34,0.10,101.00,0.40,0.07,0.00,1.00,54.28,0.10,120.00,0.50,0.08,0.00,0.97,39.18,0.07,257.00,0.59,0.06,0.00,0.94,37.37,0.04,135
,22736,"Rosenmueller, Thomas",0.80,0.07,0.00,0.94,22.57,-0.02,207.00,0.73,0.08,0.00,0.98,27.87,0.07,298.00,0.88,0.09,0.00,0.94,18.91,-0.01,92.00,0.37,0.05,0.00,0.95,59.64,0.01,84.00,0.47,0.05,0.00,0.96,44.20,0.01,154.00,0.53,0.03,0.00,0.94,40.66,-0.05,108
,11082,"Burgoon, Bronson",,,,,,,,0.64,0.10,1.00,0.96,26.81,0.07,49.00,0.78,0.00,0.00,0.90,20.04,-0.11,19.00,0.29,0.00,0.00,0.93,65.87,-0.07,28.00,0.47,0.10,1.00,0.97,41.63,-0.01,29.00,0.51,0.07,0.00,0.93,32.77,0.01,29
,23841,"Neergaard-Petersen, Rasmus",,,,,,,,0.75,0.04,0.00,0.99,28.53,0.06,76.00,0.81,0.07,0.00,0.87,18.13,-0.04,15.00,,,,,,,,0.60,0.03,1.00,1.00,39.32,0.06,38.00,0.58,0.11,0.00,0.94,37.76,0.05,18
,32319,"Koivun, Jackson",0.83,0.08,0.00,0.89,21.49,0.00,123.00,0.71,0.07,0.00,0.97,26.92,0.06,121.00,0.70,0.04,0.00,0.88,18.66,-0.14,24.00,0.36,0.00,0.00,0.97,75.96,-0.04,31.00,0.45,0.03,0.00,1.00,44.38,0.00,79.00,0.45,0.10,0.00,0.98,43.68,-0.03,41
,23504,"Hoey, Rico",0.80,0.07,0.00,0.94,23.13,0.00,302.00,0.72,0.08,0.00,0.96,28.32,0.06,415.00,0.83,0.05,0.00,0.94,18.82,-0.01,99.00,0.39,0.08,0.00,0.96,54.30,0.04,104.00,0.50,0.05,0.00,0.98,41.65,0.04,206.00,0.59,0.09,0.00,0.95,38.45,0.02,137
