,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0000,1.0000,2.0000,3,4,5.0000,6.0000,1/6/1900,8.0000,9,10.0000,11.0000,12,13.0000,14.0000,15,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.00,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,30.0000,31.0000,32.0000,33.0000,34.0000,35.0000,36.0000
,dg_id,player_name,tour,season,year,event_id,event_name,event_completed,course_name,course_num,fin_text,course_par,round_num,start_hole,teetime,score,birdies,bogies,pars,eagles_or_better,doubles_or_worse,driving_acc,driving_dist,gir,scrambling,great_shots,poor_shots,prox_fw,prox_rgh,sg_total,sg_t2g,sg_app,sg_arg,sg_ott,sg_putt,sg_categories,traditional_stats
,21883,"Ewart, A.J.",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,1,70,1,10,9:45am,66,5,1,12,0,0,0.857,NaN,0.833,NaN,,,NaN,NaN,5.034,NaN,NaN,NaN,NaN,NaN,no,basic
,21883,"Ewart, A.J.",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,1,70,2,1,8:35am,67,4,3,10,1,0,0.571,NaN,0.611,NaN,,,NaN,NaN,2.081,NaN,NaN,NaN,NaN,NaN,no,basic
,21883,"Ewart, A.J.",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,1,70,3,1,11:30am,67,4,1,13,0,0,0.643,NaN,0.611,NaN,,,NaN,NaN,1.678,NaN,NaN,NaN,NaN,NaN,no,basic
,21883,"Ewart, A.J.",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,1,70,4,1,10:00am,66,5,1,12,0,0,0.714,NaN,0.833,NaN,,,NaN,NaN,3.893,NaN,NaN,NaN,NaN,NaN,no,basic
,13997,"Svensson, Adam",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T2,70,1,1,10:35am,70,5,3,9,0,1,0.714,NaN,0.556,NaN,,,NaN,NaN,1.034,NaN,NaN,NaN,NaN,NaN,no,basic
,13997,"Svensson, Adam",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T2,70,2,10,9:15am,64,8,2,8,0,0,0.714,NaN,0.833,NaN,,,NaN,NaN,5.081,NaN,NaN,NaN,NaN,NaN,no,basic
,13997,"Svensson, Adam",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T2,70,3,1,11:00am,68,6,4,8,0,0,0.571,NaN,0.611,NaN,,,NaN,NaN,0.678,NaN,NaN,NaN,NaN,NaN,no,basic
,13997,"Svensson, Adam",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T2,70,4,1,9:30am,66,5,1,12,0,0,0.500,NaN,0.833,NaN,,,NaN,NaN,3.893,NaN,NaN,NaN,NaN,NaN,no,basic
,16591,"Rozo, Marcelo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T2,70,1,1,10:25am,70,5,3,9,0,1,0.714,NaN,0.722,NaN,,,NaN,NaN,1.034,NaN,NaN,NaN,NaN,NaN,no,basic
,16591,"Rozo, Marcelo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T2,70,2,10,9:05am,64,6,0,12,0,0,0.857,NaN,0.722,NaN,,,NaN,NaN,5.081,NaN,NaN,NaN,NaN,NaN,no,basic
,16591,"Rozo, Marcelo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T2,70,3,1,11:10am,65,7,2,9,0,0,0.643,NaN,0.556,NaN,,,NaN,NaN,3.678,NaN,NaN,NaN,NaN,NaN,no,basic
,16591,"Rozo, Marcelo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T2,70,4,1,10:10am,69,3,2,13,0,0,0.500,NaN,0.722,NaN,,,NaN,NaN,0.893,NaN,NaN,NaN,NaN,NaN,no,basic
,17032,"Tosti, Alejandro",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T2,70,1,10,8:35am,69,6,5,7,0,0,0.500,NaN,0.667,NaN,,,NaN,NaN,2.034,NaN,NaN,NaN,NaN,NaN,no,basic
,17032,"Tosti, Alejandro",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T2,70,2,1,9:45am,67,4,1,13,0,0,0.714,NaN,0.833,NaN,,,NaN,NaN,2.081,NaN,NaN,NaN,NaN,NaN,no,basic
,17032,"Tosti, Alejandro",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T2,70,3,1,10:20am,65,7,2,9,0,0,0.714,NaN,0.889,NaN,,,NaN,NaN,3.678,NaN,NaN,NaN,NaN,NaN,no,basic
,17032,"Tosti, Alejandro",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T2,70,4,1,9:50am,67,4,3,10,1,0,0.714,NaN,0.833,NaN,,,NaN,NaN,2.893,NaN,NaN,NaN,NaN,NaN,no,basic
,25002,"Wu, Dylan",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T5,70,1,10,8:25am,70,2,2,14,0,0,0.571,NaN,0.778,NaN,,,NaN,NaN,0.839,NaN,NaN,NaN,NaN,NaN,no,basic
,25002,"Wu, Dylan",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T5,70,2,1,9:35am,65,6,1,11,0,0,0.643,NaN,0.778,NaN,,,NaN,NaN,5.477,NaN,NaN,NaN,NaN,NaN,no,basic
,25002,"Wu, Dylan",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T5,70,3,1,10:40am,68,4,2,12,0,0,0.857,NaN,0.722,NaN,,,NaN,NaN,0.678,NaN,NaN,NaN,NaN,NaN,no,basic
,25002,"Wu, Dylan",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T5,70,4,1,9:20am,66,5,3,9,1,0,0.500,NaN,0.778,NaN,,,NaN,NaN,3.893,NaN,NaN,NaN,NaN,NaN,no,basic
,17381,"Silverman, Ben",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T5,70,1,10,9:05am,68,6,1,10,0,1,0.429,NaN,0.722,NaN,,,NaN,NaN,2.839,NaN,NaN,NaN,NaN,NaN,no,basic
,17381,"Silverman, Ben",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T5,70,2,1,10:15am,69,4,3,11,0,0,0.571,NaN,0.611,NaN,,,NaN,NaN,1.477,NaN,NaN,NaN,NaN,NaN,no,basic
,17381,"Silverman, Ben",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T5,70,3,1,9:40am,65,5,0,13,0,0,0.786,NaN,0.722,NaN,,,NaN,NaN,3.678,NaN,NaN,NaN,NaN,NaN,no,basic
,17381,"Silverman, Ben",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T5,70,4,1,9:30am,67,5,2,11,0,0,0.643,NaN,0.889,NaN,,,NaN,NaN,2.893,NaN,NaN,NaN,NaN,NaN,no,basic
,19360,"Atkins, Matt",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T7,70,1,10,8:55am,72,1,3,14,0,0,0.643,NaN,0.833,NaN,,,NaN,NaN,-0.966,NaN,NaN,NaN,NaN,NaN,no,basic
,19360,"Atkins, Matt",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T7,70,2,1,10:05am,64,7,1,10,0,0,0.714,NaN,0.889,NaN,,,NaN,NaN,5.081,NaN,NaN,NaN,NaN,NaN,no,basic
,19360,"Atkins, Matt",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T7,70,3,1,10:10am,65,6,1,11,0,0,0.643,NaN,0.833,NaN,,,NaN,NaN,3.678,NaN,NaN,NaN,NaN,NaN,no,basic
,19360,"Atkins, Matt",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T7,70,4,1,9:50am,69,3,2,13,0,0,0.429,NaN,0.500,NaN,,,NaN,NaN,0.893,NaN,NaN,NaN,NaN,NaN,no,basic
,9171,"Villegas, Camilo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T7,70,1,10,10:05am,69,3,0,14,0,1,0.571,NaN,0.778,NaN,,,NaN,NaN,2.034,NaN,NaN,NaN,NaN,NaN,no,basic
,9171,"Villegas, Camilo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T7,70,2,1,8:55am,65,5,0,13,0,0,0.500,NaN,0.667,NaN,,,NaN,NaN,4.081,NaN,NaN,NaN,NaN,NaN,no,basic
,9171,"Villegas, Camilo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T7,70,3,1,11:10am,70,5,1,10,0,2,0.500,NaN,0.778,NaN,,,NaN,NaN,-1.322,NaN,NaN,NaN,NaN,NaN,no,basic
,9171,"Villegas, Camilo",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T7,70,4,1,8:40am,66,4,0,12,1,1,0.857,NaN,0.778,NaN,,,NaN,NaN,3.893,NaN,NaN,NaN,NaN,NaN,no,basic
,26913,"Phillips, Trent",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T9,70,1,1,9:35am,69,3,2,13,0,0,0.571,NaN,0.667,NaN,,,NaN,NaN,2.034,NaN,NaN,NaN,NaN,NaN,no,basic
,26913,"Phillips, Trent",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T9,70,2,10,8:15am,69,3,2,13,0,0,0.643,NaN,0.611,NaN,,,NaN,NaN,0.081,NaN,NaN,NaN,NaN,NaN,no,basic
,26913,"Phillips, Trent",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T9,70,3,1,9:30am,71,3,4,11,0,0,0.714,NaN,0.556,NaN,,,NaN,NaN,-2.322,NaN,NaN,NaN,NaN,NaN,no,basic
,26913,"Phillips, Trent",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T9,70,4,10,8:50am,62,10,2,6,0,0,0.786,NaN,0.889,NaN,,,NaN,NaN,7.893,NaN,NaN,NaN,NaN,NaN,no,basic
,25036,"Holt, Ian",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T9,70,1,1,8:15am,67,4,1,13,0,0,0.643,NaN,0.556,NaN,,,NaN,NaN,4.034,NaN,NaN,NaN,NaN,NaN,no,basic
,25036,"Holt, Ian",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T9,70,2,10,9:25am,67,5,2,11,0,0,0.786,NaN,0.833,NaN,,,NaN,NaN,2.081,NaN,NaN,NaN,NaN,NaN,no,basic
,25036,"Holt, Ian",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T9,70,3,1,11:00am,67,5,2,11,0,0,0.857,NaN,0.833,NaN,,,NaN,NaN,1.678,NaN,NaN,NaN,NaN,NaN,no,basic
,25036,"Holt, Ian",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T9,70,4,1,9:40am,70,3,3,12,0,0,0.571,NaN,0.722,NaN,,,NaN,NaN,-0.107,NaN,NaN,NaN,NaN,NaN,no,basic
,26126,"Meissner, Mitchell",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Dye's Valley Course,922,T9,70,1,1,9:15am,68,4,2,12,0,0,0.786,NaN,0.667,NaN,,,NaN,NaN,2.839,NaN,NaN,NaN,NaN,NaN,no,basic
,26126,"Meissner, Mitchell",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T9,70,2,10,10:25am,67,5,2,11,0,0,0.714,NaN,0.722,NaN,,,NaN,NaN,3.477,NaN,NaN,NaN,NaN,NaN,no,basic
,26126,"Meissner, Mitchell",pga,2025,2025,88,PGA TOUR Q-School presented by Korn Ferry,12/13/2025,Sawgrass Country Club,927,T9,70,3,1,10:30am,68,3,1,14,0,0,1.000,NaN,0.833,NaN,,,NaN,NaN,0.678,NaN,NaN,NaN,NaN,NaN,no,basic
