,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tournament:,Sony Open in Hawaii,,,"Last updated: 1/19/2026, 9:29:47 AM",,,,,,,,,,,,,,,,,,,,,,,
,Course:,Waialae Country Club,,,Found 120 players from API,,,,,,,,,,,,,,,,,,,,,,,
,Data Date:,2026-01-19 03:15:48 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS
⚠️ Major model miss: #114 → 1 | ↑ Approach | 📈 Rough Proximity: trend reversing (5.001) | 📈 Fairway Proximity: trend reversing (2.718) | 📉 SG T2G: trend reversing (0.337) | ⚠️ Success despite model prediction,27774,"Gotterup, Chris",114,1,-16,3.233,-1.417,304.05,309.65,60.71%,74.05%,1.950,-1.459,-0.013,-0.599,0.863,-0.722,1.103,-0.137,1.283,0.029,76.39%,65.03%,25.42,21.75,0.00,34.52,0.000
↑ Approach | 📈 Fairway Proximity: trend reversing (2.380) | 📈 Rough Proximity: trend reversing (0.447) | 📈 SG Approach: trend continuing (0.140) | ⚠️ Success despite model prediction,29767,"Gerard, Ryan",21,2,-14,2.733,1.337,289.98,301.60,71.43%,86.46%,2.410,1.717,1.528,1.374,0.468,0.673,0.413,-0.330,0.325,-0.513,77.78%,83.28%,24.59,23.29,0.00,7.25,0.000
⚠️ Major model miss: #98 → 3 | ↓ Approach | 📉 Rough Proximity: trend continuing (1.660) | 📉 Fairway Proximity: trend continuing (0.938) | 📉 SG Total: trend reversing (0.130) | ⚠️ Success despite model prediction,16283,"Rodgers, Patrick",98,3,-13,2.483,0.935,296.28,293.33,60.71%,68.46%,1.413,0.135,0.540,0.018,0.063,0.024,0.810,0.093,1.070,-0.107,76.39%,71.52%,28.00,1.89,0.00,3.15,0.000
⚠️ Major model miss: #62 → T4 | ⚠️ Success despite model prediction,23323,"MacIntyre, Robert",62,T4,-12,2.233,-0.148,306.05,302.40,55.36%,73.77%,1.910,-0.711,0.785,-0.449,0.250,-0.194,0.878,-0.069,0.318,0.564,79.17%,62.15%,30.49,29.50,0.00,61.40,0.000
⚠️ Major model miss: #53 → T4 | ↓ Approach | 📉 Rough Proximity: trend continuing (3.999) | 📉 Fairway Proximity: trend continuing (2.286) | 📈 SG Total: trend continuing (0.240) | ⚠️ Success despite model prediction,29433,"Bridgeman, Jacob",53,T4,-12,2.233,0.407,292.33,303.00,51.79%,77.92%,1.103,-0.099,1.005,-0.122,0.140,0.108,-0.038,-0.086,1.125,-0.255,75.00%,69.31%,23.07,4.64,0.00,7.98,0.000
✅ Success aligned with model,17606,"Berger, Daniel",11,T6,-11,1.983,0.226,296.60,240.94,55.36%,41.53%,1.063,-0.446,0.990,-0.593,-0.198,-0.128,0.270,0.275,0.920,0.869,79.17%,57.93%,25.60,24.11,0.00,42.67,0.000
⚠️ Major model miss: #83 → T6 | ⚠️ Success despite model prediction,17780,"Pendrith, Taylor",83,T6,-11,1.983,0.000,305.55,0.00,55.36%,0.00%,1.203,0.000,0.120,0.000,0.768,0.000,0.313,0.000,0.783,0.000,68.06%,0.00%,30.21,0.00,0.00,0.00,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (0.532) | 📉 Fairway Proximity: trend continuing (0.404) | 📉 SG Total: trend reversing (0.332) | ⚠️ Success despite model prediction,25157,"Hodges, Lee",34,T6,-11,1.983,-1.530,293.03,267.15,55.36%,55.99%,0.035,0.005,0.027,0.003,0.078,-0.018,-0.065,0.020,1.943,0.143,75.00%,63.93%,33.63,0.71,0.00,0.89,0.000
⚠️ Major model miss: #88 → T6 | ↓ Approach | 📉 Rough Proximity: trend continuing (2.363) | 📉 Fairway Proximity: trend continuing (1.170) | 📈 SG Total: trend continuing (0.164) | ⚠️ Success despite model prediction,19872,"Riley, Davis",88,T6,-11,1.983,-2.386,290.16,286.03,55.36%,70.96%,-0.793,0.000,-0.173,-0.026,0.043,-0.006,-0.665,0.031,2.775,0.051,63.89%,66.98%,30.04,1.66,0.00,3.56,0.000
⚠️ Success despite model prediction,27194,"Hall, Harry",28,T6,-11,1.983,0.324,297.53,295.57,69.64%,60.20%,1.310,-0.147,0.283,-0.261,0.233,0.513,0.798,-0.399,0.670,0.471,77.78%,57.12%,29.49,32.50,0.00,52.89,0.000
↑ Finished better than predicted | ⚠️ Success despite model prediction,19396,"Knapp, Jake",66,T11,-10,1.733,0.000,297.18,0.00,57.14%,0.00%,0.608,0.000,-0.348,0.000,0.360,0.000,0.595,0.000,1.125,0.000,68.06%,0.00%,31.96,0.00,0.00,0.00,0.000
↑ Finished better than predicted | ⚠️ Success despite model prediction,14609,"Kim, Si Woo",51,T11,-10,1.733,-0.041,296.73,302.95,76.79%,81.72%,2.878,0.000,1.640,0.000,0.220,0.000,1.020,0.000,-1.145,-0.016,81.94%,54.37%,22.56,0.00,0.00,0.00,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (1.774) | 📉 Fairway Proximity: trend continuing (0.735) | ⚠️ Success despite model prediction,28309,"Coody, Pierceson",96,T13,-9,1.483,1.127,306.98,282.74,55.36%,62.28%,0.878,0.057,0.023,0.006,0.218,0.006,0.635,0.045,0.603,-0.308,72.22%,61.74%,31.56,1.07,0.00,2.66,0.000
↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (0.076) | ↓ Below average performer | ⚠️ Success despite model prediction,29925,"Yellamaraju, Sudarshan",94,T13,-9,1.483,0.629,298.80,0.00,62.50%,0.00%,0.998,0.000,0.225,0.000,0.180,0.000,0.595,0.000,0.488,0.000,69.44%,0.00%,30.67,0.00,0.00,0.00,0.000
↑ Approach | 📈 Rough Proximity: trend reversing (1.808) | 📈 Fairway Proximity: trend reversing (1.670) | 📈 SG Total: trend continuing (0.317) | ✅ Success aligned with model,13562,"Matsuyama, Hideki",2,T13,-9,1.483,1.798,293.25,298.46,60.71%,77.46%,2.110,1.076,1.235,0.301,0.823,0.597,0.053,0.179,-0.625,0.289,68.06%,72.85%,25.10,18.14,0.00,17.69,0.000
↑ Finished better than predicted | ↓ Below average performer | ⚠️ Success despite model prediction,21688,"Kim, S.H.",58,T13,-9,1.483,0.569,290.05,0.00,51.79%,0.00%,0.163,0.000,-0.055,0.000,0.345,0.000,-0.128,0.000,1.315,0.000,72.22%,0.00%,32.05,0.00,0.00,0.00,0.000
⚠️ Success despite model prediction,13126,"Taylor, Nick",33,T13,-9,1.483,-0.601,289.95,307.14,62.50%,89.84%,1.113,-0.007,1.060,-0.312,0.140,0.119,-0.085,0.186,0.368,-0.102,80.56%,77.58%,25.79,10.98,0.00,18.65,0.000
