course_num,n,slope,intercept,r,t_stat,p_value
510,2744,-1.056723,51.550874,-0.244295,-13.192012,0.000000
500,2401,-1.389114,52.607398,-0.293488,-15.037127,0.000000
5,3123,-0.659900,52.049100,-0.111458,-6.265746,0.000000
4,682,-4.273297,53.531151,-0.175263,-4.642152,0.000003
104,227,-1.559194,76.518226,-0.223287,-3.436054,0.000590
769,49,7.659574,68.340426,0.259209,1.839933,0.065778
205,94,1.765477,68.399126,0.154453,1.499452,0.133756
665,742,-0.836717,55.268509,-0.034053,-0.926867,0.353996
889,188,0.213873,72.409298,0.029035,0.396147,0.691997
704,100,0.000000,44.810000,0.000000,0.000000,1.000000
922,84,0.000000,48.928571,0.000000,0.000000,1.000000
927,80,0.000000,110.112500,0.000000,0.000000,1.000000
919,119,0.000000,50.932773,0.000000,0.000000,1.000000
43,156,0.000000,51.608974,0.000000,0.000000,1.000000
939,72,0.000000,33.236111,0.000000,0.000000,1.000000
659,142,0.000000,54.971831,0.000000,0.000000,1.000000
800,127,0.000000,49.188976,0.000000,0.000000,1.000000
114,130,0.000000,50.676923,0.000000,0.000000,1.000000
930,126,0.000000,49.007937,0.000000,0.000000,1.000000
936,78,0.000000,38.089744,0.000000,0.000000,1.000000
91,73,0.000000,35.369863,0.000000,0.000000,1.000000
746,132,0.000000,49.696970,0.000000,0.000000,1.000000
96,110,0.000000,48.663636,0.000000,0.000000,1.000000
926,144,0.000000,53.798611,0.000000,0.000000,1.000000
202,24,0.000000,74.000000,0.000000,0.000000,1.000000
233,28,0.000000,74.000000,0.000000,0.000000,1.000000
232,20,0.000000,10.350000,0.000000,0.000000,1.000000
688,30,0.000000,14.833333,0.000000,0.000000,1.000000
